Review,Feature
"I played toca life since 2018 and Avatar world is one of the best games I played in my life there are a whole lot of places to visit and I don't have to pay a single cent to get all of those places, every single while they add new and fun stuff, and there are free gifts every single thing comes out!!! Big gifts,to be exact! When there is an event that comes out, there are big boxes with DECORATIONS , and cars,something that toca world dosent have. Overall. This gam is great. FIVE STARS!!!","Review -> Free-to-Play, Regular Updates, Gift System, Event Features, Customization Options, Exploration, Variety of Locations, Decorations, Virtual Items"
"Full transparency, I'm a 17 year old who grew up with Toca World. This app is 1,000x better. It has a cute artstyle, fun little mini games, and a whole world to explore, without spending a penny. It also has hidden items and puzzles, and, no joke, I will spend HOURS figuring them out. There are some that I haven't managed to get yet. They update regularly, have free holiday stuff, and way more to do than any other game I've tried like this. Keep up the good work!!","Review -> Art Style, Mini Games, Exploration, Hidden Items, Puzzles, Regular Updates, Free Content, Customization, Quests"
"Totally amazing! My daughter and I absolutely LOVE this game!! There's a TON of super cool FREE locations and items with fun animations, as well as a paid monthly pass that adds even more at a great price/value! They're really quick to fix bugs, and keep updating the game experience in a very positive way. I'm so impressed! I'd originally thought it was simply a Toca Boca World clone (it's not), but it surpasses as far as bug fixes (big problem with Toca), updates and free content. Exceptional â­","Review -> Free Content, Bug Fixes, Updates, Value for Money, Animations, Customization Options"
"I love the game so much!! So much to do and so many episodes u could do, but there so problems that I have to deal with there's many bugs and it takes me put of the game for no reason avatar world please fix it. And one for thing we have to buy the nice stuff I know you guys need money to upgrade it but please make some of the pack free some players may agreed too but this is in my opinion please avatar world check this message out! But it's a really great game!! And I love it!","Review -> Bug Fixing, In-Game Purchases, Stability"
"I actually really love this game. No ads tons of free stuff with regular updates that include new options and sometimes gameplay. I genuinely get overwhelmed by just how much stuff I can play with. I bought a few dlcs but unlike other games I didn't feel that pressure to buy to enjoy the game. The free no ad version is amazing. I continue to be amazed by the stuff you can do, how you can dress up and decorate but also by the updates. ALL FOR FREE with NO ADS! I'd love to get another console game","Review -> Customization Options, Regular Updates, Ad-Free Experience, In-Game Purchases, Gameplay Variety, Free Content"
"I cannot withstand the magical simulation in this game. It really let's people show who they are. I've played Toca boca, but it isn't as kawaii as this one! This game is the one and only best avatar simulation game! I highly recommend playing this game. And another thing: you can change the style of the music and I LOVE the new city! If I could, I would rate this infinity â¾ï¸ stars! I love how there is even a cool movie ð¬ studio ð and a movie theater! This game is a must play!ð","Review -> Magical Simulation, Customization Options, Music Style, City, Movie Studio, Movie Theater"
Really good game love art style I made a story cuz I have a mind that makes story's with stuff somehowð¤£ love the puzzles and locked items I spend HOURS I MEAN HOURS! To get the unlocked but some things I can't figure out but don't worry that's the fun part ð but the problem is sometimes it's glitchy and has a lot of ads when it glitches out ð and it gets boring sometimes like real boring ð it's so boring and the pet maker update doesn't work! Cute tho! ð¥°,"Review -> Art Style, Puzzles, Locked Items, Glitch Handling, Ad Management, Pet Maker Feature, Gameplay Engagement"
"It's really fun! I used to play toca but I had to pay for all the locations and I'm broke lol it's super detailed and I love the animations you added it so much easier to take off bags and coats now! I think it would so cool if you added more style clothing options like grunge, street wear and goth! It would help so many people make stories especially if they make videos but other then that it's super cool and fun to play. I even got my cousin to play and she never plays these types of games!","Review -> Customization Options, User Interface, Content Variety, Monetary System, Sharing/Community Features, Clothing Options"
"Everything said about this game is true, the amazing animation quality, cute style, versatile clothing up to date with today's fashion, cheaper price for asthetic bundles and much more but as all these pros together I have one thing to clear up. On certain events clothing around the map alters and in the stores you get to utilize the free clothing displayed on the mannequin this is awesome but a new event came and it stop stocking the previous clothing on the mannequin its gone forever","Review -> Event-Based Content, Customization Options, Limited-Time Availability of Items, In-Game Store, Mannequin Display Feature"
"Avatar world is a fun game to play to me because of how many new things there are. For instance, there is a new update every week or so making it very exciting. And so far, there are TWO new islands with cool new things. And they have new clothes every week! It changes all the time! And you can play with four friends online or offline. You can also get free things in the store. So I like this game because of how much it changes. It is amazing and I love it sooooo much! I hope you do to. Love it!","Review -> Frequency of Updates, New Content, Customization Options, Multiplayer Capability, In-Game Store, Frequency of New Items"
