Reviews,cleaned_review,cluster
"I played toca life since 2018 and Avatar world is one of the best games I played in my life there are a whole lot of places to visit and I don't have to pay a single cent to get all of those places, every single while they add new and fun stuff, and there are free gifts every single thing comes out!!! Big gifts,to be exact! When there is an event that comes out, there are big boxes with DECORATIONS , and cars,something that toca world dosent have. Overall. This gam is great. FIVE STARS!!!",played toca life since 2018 avatar world one best game played life whole lot place visit dont pay single cent get place every single add new fun stuff free gift every single thing come big giftsto exact event come big box decoration carssomething toca world dosent overall gam great five star,0
"Full transparency, I'm a 17 year old who grew up with Toca World. This app is 1,000x better. It has a cute artstyle, fun little mini games, and a whole world to explore, without spending a penny. It also has hidden items and puzzles, and, no joke, I will spend HOURS figuring them out. There are some that I haven't managed to get yet. They update regularly, have free holiday stuff, and way more to do than any other game I've tried like this. Keep up the good work!!",full transparency im 17 year old grew toca world app 1000x better cute artstyle fun little mini game whole world explore without spending penny also hidden item puzzle joke spend hour figuring havent managed get yet update regularly free holiday stuff way game ive tried like keep good work,0
"Totally amazing! My daughter and I absolutely LOVE this game!! There's a TON of super cool FREE locations and items with fun animations, as well as a paid monthly pass that adds even more at a great price/value! They're really quick to fix bugs, and keep updating the game experience in a very positive way. I'm so impressed! I'd originally thought it was simply a Toca Boca World clone (it's not), but it surpasses as far as bug fixes (big problem with Toca), updates and free content. Exceptional ⭐",totally amazing daughter absolutely love game there ton super cool free location item fun animation well paid monthly pas add even great pricevalue theyre really quick fix bug keep updating game experience positive way im impressed id originally thought simply toca boca world clone surpasses far bug fix big problem toca update free content exceptional,0
"I love the game so much!! So much to do and so many episodes u could do, but there so problems that I have to deal with there's many bugs and it takes me put of the game for no reason avatar world please fix it. And one for thing we have to buy the nice stuff I know you guys need money to upgrade it but please make some of the pack free some players may agreed too but this is in my opinion please avatar world check this message out! But it's a really great game!! And I love it!",love game much much many episode u could problem deal there many bug take put game reason avatar world please fix one thing buy nice stuff know guy need money upgrade please make pack free player may agreed opinion please avatar world check message really great game love,0
"I actually really love this game. No ads tons of free stuff with regular updates that include new options and sometimes gameplay. I genuinely get overwhelmed by just how much stuff I can play with. I bought a few dlcs but unlike other games I didn't feel that pressure to buy to enjoy the game. The free no ad version is amazing. I continue to be amazed by the stuff you can do, how you can dress up and decorate but also by the updates. ALL FOR FREE with NO ADS! I'd love to get another console game",actually really love game ad ton free stuff regular update include new option sometimes gameplay genuinely get overwhelmed much stuff play bought dlcs unlike game didnt feel pressure buy enjoy game free ad version amazing continue amazed stuff dress decorate also update free ad id love get another console game,0
"I cannot withstand the magical simulation in this game. It really let's people show who they are. I've played Toca boca, but it isn't as kawaii as this one! This game is the one and only best avatar simulation game! I highly recommend playing this game. And another thing: you can change the style of the music and I LOVE the new city! If I could, I would rate this infinity ♾️ stars! I love how there is even a cool movie 🎬 studio 🎙 and a movie theater! This game is a must play!💙",cannot withstand magical simulation game really let people show ive played toca boca isnt kawaii one game one best avatar simulation game highly recommend playing game another thing change style music love new city could would rate infinity star love even cool movie studio movie theater game must play,0
Really good game love art style I made a story cuz I have a mind that makes story's with stuff somehow🤣 love the puzzles and locked items I spend HOURS I MEAN HOURS! To get the unlocked but some things I can't figure out but don't worry that's the fun part 😊 but the problem is sometimes it's glitchy and has a lot of ads when it glitches out 😕 and it gets boring sometimes like real boring 😞 it's so boring and the pet maker update doesn't work! Cute tho! 🥰,really good game love art style made story cuz mind make story stuff somehow love puzzle locked item spend hour mean hour get unlocked thing cant figure dont worry thats fun part problem sometimes glitchy lot ad glitch get boring sometimes like real boring boring pet maker update doesnt work cute tho,0
"It's really fun! I used to play toca but I had to pay for all the locations and I'm broke lol it's super detailed and I love the animations you added it so much easier to take off bags and coats now! I think it would so cool if you added more style clothing options like grunge, street wear and goth! It would help so many people make stories especially if they make videos but other then that it's super cool and fun to play. I even got my cousin to play and she never plays these types of games!",really fun used play toca pay location im broke lol super detailed love animation added much easier take bag coat think would cool added style clothing option like grunge street wear goth would help many people make story especially make video super cool fun play even got cousin play never play type game,0
"Everything said about this game is true, the amazing animation quality, cute style, versatile clothing up to date with today's fashion, cheaper price for asthetic bundles and much more but as all these pros together I have one thing to clear up. On certain events clothing around the map alters and in the stores you get to utilize the free clothing displayed on the mannequin this is awesome but a new event came and it stop stocking the previous clothing on the mannequin its gone forever",everything said game true amazing animation quality cute style versatile clothing date today fashion cheaper price asthetic bundle much pro together one thing clear certain event clothing around map alters store get utilize free clothing displayed mannequin awesome new event came stop stocking previous clothing mannequin gone forever,0
"Avatar world is a fun game to play to me because of how many new things there are. For instance, there is a new update every week or so making it very exciting. And so far, there are TWO new islands with cool new things. And they have new clothes every week! It changes all the time! And you can play with four friends online or offline. You can also get free things in the store. So I like this game because of how much it changes. It is amazing and I love it sooooo much! I hope you do to. Love it!",avatar world fun game play many new thing instance new update every week making exciting far two new island cool new thing new clothes every week change time play four friend online offline also get free thing store like game much change amazing love sooooo much hope love,0
