Review,Feature
"Constant ADs: banner ads, before, and after a game as well as whether or not you want extra items. Game functionality is good but the number buttons on the bottom are a bit too small and close together leading to incorrect inputs sometimes especially if you have long nails and likely an issue for larger fingers too. Game on its own is 4.5 stars but ads every other minute (especially if you solve the easier puzzles fast) are WAY too many. They should implement a timer so you can't have too many.","Review -> Game functionality, Ads (banner ads, before, and after a game), Number buttons, Timer for ads, Extra items"
"Great app. Levels are challenging. Easy levels are great for introducing people to the game. I enjoy the really puzzles. Extra features and pencil feature are smooth and easy to use. I'm not big on the events but that's just me. The ads can be a little annoying due to being given an ad after every level completion, hint, pause, resume, etc. Thankfully they are 5 seconds two or three times. It would be better if you were spared the ads if you solve a without any mistakes.","Review -> Thousands of Free Puzzles, Note Mode, Helpful Boosters, Daily Challenges, Track Your Progress, Play Sudoku Offline or Online, Undo and Erase, Highlighting, Four Difficulty Levels, Secure Account, Ads"
I play this game every day and have done so for years but the latest update is horrendous. The font size has been increased so much the screen is now cluttered and too noisy even on the smallest setting. The overall grid seems to be smaller than before with lots of dead space and excessively large numbers at the bottom. It is impossible to concentrate or see clearly with this dreadful update. The help centre does not seem to allow freestyle feedback. So disappointed.,"Review -> Customizable Profiles, Play Sudoku Offline or Online, Thousands of Free Puzzles, Daily Challenges, Note Mode, Helpful Boosters, Track Your Progress 
However, the features that are most relevant are 
Review -> Customizable Profiles, Play Sudoku Offline or Online"
"Tried this out as my previous app seemed to have played with how easy the puzzles were across the board. Difficulties here are OK but I keep accidentally clicking the auto fill button when I mean to click candidates, as the buttons look very similar. This takes me to an unskippable ad on each puzzle. Ads after every puzzle also get tiresome when event puzzles take about a minute each until you've unlocked the hard ones at lvl 50. Uninstalling and continuing my search for a better app","Review -> Auto Fill Button, Candidates Button, Ads, Difficulty Levels, Event Puzzles, Undo and Erase is not mentioned but the review mentions unskippable ads after every puzzle and accidental clicks on buttons. 

However, the correct mapping based on the given details is:
Review -> Auto Fill Button, Candidates Button, Ads, Difficulty Levels, Event Puzzles"
This game had grown to 4+ starz and a personal favorite. Then the side game 'Aquarius' reduced 5his to 3â rating with the addition of ads with.extended times. They cannot be broken. Then there are continuous loops to app store for loading new games that you are not interested. Then in loop between app store and game. This looping can last 2-3minutes. It is no longer my favorite. Rating go down to delete. This app is ridiculously easy games. Even their hints don't get beyond cross hatching.,"Review -> 
- Helpful Boosters 
- Thousands of Free Puzzles 
- Daily Challenges 
- Play Sudoku Offline or Online 
- Customizable Profiles 
- Four Difficulty Levels 
- Undo and Erase 
- Highlighting 
- Secure Account 
- Note Mode 
- Track Your Progress"
"The app interface is very good, but several times now, the app has given me an incorrect sudoku. To be a true sudoku, there can only be one solution, which is the premise for the ""unique rectangle"" solving technique. These incorrect puzzles end up with a rectangle of squares with exactly two candidates, the same candidates in each one. This is an impossible configuration for a puzzle with only one solution, and it forces you to guess which solution the developer intended. Please fix this ASAP","Review -> Thousands of Free Puzzles, How to Play"
"Get at your own risk! I uninstalled it and won't reinstall. At first, I loved it. I wasn't interested in sudoku before, but got hooked with this game. The reason for the bad review is because it randomly tried to give me a virus! I was putting a number in a box and I was suddenly redirected to a website claiming to be the security setting on my phone, notifying me of malware with a link to remove it. I, of course, immediately clicked OFF the website and promptly uninstalled. Shady AF!",Review -> None
"The ads are B.R.U.T.A.L. Everything else about the game is solid. But for every minute of play time, you will have about 2 minutes of ads. There are 2 ads between every round. I've never had such an ad intrusive game experience. And if you want to pay for ad free, it's $13/year. Not a one time fee. Per year. For Sudoku. If you can tolerate 2/3rds of your time being ads, go for it. Or if $13/year subscription sounds good, go for it. Otherwise, you might want to look at the alternatives.","Review -> None of the mentioned features, but it mentions ads and subscription which is not listed in the provided features."
"Happy then so sad... It was so nice to find a simple Sudoku. Now, sooooooo many ads. I get it, need some cash for the work but... It's one ad after another. It's Sudoku, how many ""upgrades"" could you possibly add. I was happy with just the game. I didn't need all the extras. One good thing and the reason for the 3... Less time on the tech, back to paper and pen and a W H O L E lot less aggravation. Yes, in my option, the ads are that bad, now.","Review -> Thousands of Free Puzzles, Daily Challenges, Helpful Boosters, Customizable Profiles, Play Sudoku Offline or Online, Note Mode, Track Your Progress"
"Eventually you get tired of all the ads, you can avoid a lot of them by closing the app and restarting, but it gets old after a couple days. Considering you can buy sodoku books that don't drain your phone battery I'm just not lazy enough to waste money on no ads feature especially when the difficulty level is geared towards children. There's no real challenge whatsoever, and ultimately I'm bored.","Review -> Thousands of Free Puzzles, Four Difficulty Levels, Play Sudoku Offline or Online, Additional feature - No Ads"
