Reviews,cleaned_review,cluster
"Constant ADs: banner ads, before, and after a game as well as whether or not you want extra items. Game functionality is good but the number buttons on the bottom are a bit too small and close together leading to incorrect inputs sometimes especially if you have long nails and likely an issue for larger fingers too. Game on its own is 4.5 stars but ads every other minute (especially if you solve the easier puzzles fast) are WAY too many. They should implement a timer so you can't have too many.",constant ad banner ad game well whether want extra item game functionality good number button bottom bit small close together leading incorrect input sometimes especially long nail likely issue larger finger game 45 star ad every minute especially solve easier puzzle fast way many implement timer cant many,0
"Great app. Levels are challenging. Easy levels are great for introducing people to the game. I enjoy the really puzzles. Extra features and pencil feature are smooth and easy to use. I'm not big on the events but that's just me. The ads can be a little annoying due to being given an ad after every level completion, hint, pause, resume, etc. Thankfully they are 5 seconds two or three times. It would be better if you were spared the ads if you solve a without any mistakes.",great app level challenging easy level great introducing people game enjoy really puzzle extra feature pencil feature smooth easy use im big event thats ad little annoying due given ad every level completion hint pause resume etc thankfully 5 second two three time would better spared ad solve without mistake,0
I play this game every day and have done so for years but the latest update is horrendous. The font size has been increased so much the screen is now cluttered and too noisy even on the smallest setting. The overall grid seems to be smaller than before with lots of dead space and excessively large numbers at the bottom. It is impossible to concentrate or see clearly with this dreadful update. The help centre does not seem to allow freestyle feedback. So disappointed.,play game every day done year latest update horrendous font size increased much screen cluttered noisy even smallest setting overall grid seems smaller lot dead space excessively large number bottom impossible concentrate see clearly dreadful update help centre seem allow freestyle feedback disappointed,0
"Tried this out as my previous app seemed to have played with how easy the puzzles were across the board. Difficulties here are OK but I keep accidentally clicking the auto fill button when I mean to click candidates, as the buttons look very similar. This takes me to an unskippable ad on each puzzle. Ads after every puzzle also get tiresome when event puzzles take about a minute each until you've unlocked the hard ones at lvl 50. Uninstalling and continuing my search for a better app",tried previous app seemed played easy puzzle across board difficulty ok keep accidentally clicking auto fill button mean click candidate button look similar take unskippable ad puzzle ad every puzzle also get tiresome event puzzle take minute youve unlocked hard one lvl 50 uninstalling continuing search better app,0
This game had grown to 4+ starz and a personal favorite. Then the side game 'Aquarius' reduced 5his to 3☆ rating with the addition of ads with.extended times. They cannot be broken. Then there are continuous loops to app store for loading new games that you are not interested. Then in loop between app store and game. This looping can last 2-3minutes. It is no longer my favorite. Rating go down to delete. This app is ridiculously easy games. Even their hints don't get beyond cross hatching.,game grown 4 starz personal favorite side game aquarius reduced 5his 3 rating addition ad withextended time cannot broken continuous loop app store loading new game interested loop app store game looping last 23minutes longer favorite rating go delete app ridiculously easy game even hint dont get beyond cross hatching,0
"The app interface is very good, but several times now, the app has given me an incorrect sudoku. To be a true sudoku, there can only be one solution, which is the premise for the ""unique rectangle"" solving technique. These incorrect puzzles end up with a rectangle of squares with exactly two candidates, the same candidates in each one. This is an impossible configuration for a puzzle with only one solution, and it forces you to guess which solution the developer intended. Please fix this ASAP",app interface good several time app given incorrect sudoku true sudoku one solution premise unique rectangle solving technique incorrect puzzle end rectangle square exactly two candidate candidate one impossible configuration puzzle one solution force guess solution developer intended please fix asap,0
"Get at your own risk! I uninstalled it and won't reinstall. At first, I loved it. I wasn't interested in sudoku before, but got hooked with this game. The reason for the bad review is because it randomly tried to give me a virus! I was putting a number in a box and I was suddenly redirected to a website claiming to be the security setting on my phone, notifying me of malware with a link to remove it. I, of course, immediately clicked OFF the website and promptly uninstalled. Shady AF!",get risk uninstalled wont reinstall first loved wasnt interested sudoku got hooked game reason bad review randomly tried give virus putting number box suddenly redirected website claiming security setting phone notifying malware link remove course immediately clicked website promptly uninstalled shady af,0
"The ads are B.R.U.T.A.L. Everything else about the game is solid. But for every minute of play time, you will have about 2 minutes of ads. There are 2 ads between every round. I've never had such an ad intrusive game experience. And if you want to pay for ad free, it's $13/year. Not a one time fee. Per year. For Sudoku. If you can tolerate 2/3rds of your time being ads, go for it. Or if $13/year subscription sounds good, go for it. Otherwise, you might want to look at the alternatives.",ad brutal everything else game solid every minute play time 2 minute ad 2 ad every round ive never ad intrusive game experience want pay ad free 13year one time fee per year sudoku tolerate 23rds time ad go 13year subscription sound good go otherwise might want look alternative,0
"Happy then so sad... It was so nice to find a simple Sudoku. Now, sooooooo many ads. I get it, need some cash for the work but... It's one ad after another. It's Sudoku, how many ""upgrades"" could you possibly add. I was happy with just the game. I didn't need all the extras. One good thing and the reason for the 3... Less time on the tech, back to paper and pen and a W H O L E lot less aggravation. Yes, in my option, the ads are that bad, now.",happy sad nice find simple sudoku sooooooo many ad get need cash work one ad another sudoku many upgrade could possibly add happy game didnt need extra one good thing reason 3 less time tech back paper pen w h l e lot less aggravation yes option ad bad,0
"Eventually you get tired of all the ads, you can avoid a lot of them by closing the app and restarting, but it gets old after a couple days. Considering you can buy sodoku books that don't drain your phone battery I'm just not lazy enough to waste money on no ads feature especially when the difficulty level is geared towards children. There's no real challenge whatsoever, and ultimately I'm bored.",eventually get tired ad avoid lot closing app restarting get old couple day considering buy sodoku book dont drain phone battery im lazy enough waste money ad feature especially difficulty level geared towards child there real challenge whatsoever ultimately im bored,0
"I love Sudoku. That said, the number of ads in this game is beyond comprehension. Ad plays after each game, and if you have to pause a game, you'll have to watch an ad to go back to it. They offer an ad-free option at $12.99 yearly or $2.99 a month with unlimited hints and second chances. Wouldn't suggest wasting your time buying it. The majority of games like this only charge a one-time fee of $4.99, with watching ads for extra hints, etc. Much better deal.",love sudoku said number ad game beyond comprehension ad play game pause game youll watch ad go back offer adfree option 1299 yearly 299 month unlimited hint second chance wouldnt suggest wasting time buying majority game like charge onetime fee 499 watching ad extra hint etc much better deal,0
