Review,Feature,Emotion
amazing app latest update app issue app slow includes searching medicine navigating page payment page processing payment etc relaunch multiple time place order didnt get conformation though amount deducted tried reinstalling luck using app since year never issue requesting fix bug performance issue current update thank,"Review -> Search Functionality, Navigation, Payment Processing, Order Confirmation, App Performance",Positive
worst app beg front please dont buy anything app ordered moisturizer app always use past two year sent duplicate fake product cause lot acne unresponsible saw moisturizers disclaimer site noticed post two different thing image direction partthey written face wash responsible,"Review -> Product Authenticity, Customer Support, Product Description Accuracy, Delivery Service",Negative
2020 review extremely slow app unless slowness doesnt get fixed stop giving additional discount apps 2025 review nothing change far slowness giving pop ur network seems slow annoying best highest network coverage fix remove app concept switch web page,"2020 review -> App Performance, Discount Offers
2025 review -> App Performance, Network Connectivity, User Interface",Positive
scam app always delivery issue lala shop nothing call chat support deliberate order cancellation poor inventory management fuss mess apollo ineffective inefficient app good nothing trustworthy complete waste time ask cancel order failed order management completely unreliable fake useless app black spot field medicine disgustingly unreliable use sharing brand social id even useless,"Review -> Order Management, Delivery, Customer Support, Inventory Management, App Effectiveness, Trustworthiness, Order Cancellation",Negative
bad experience insurance purchase payment routed niva bupa renewal day nether niva bupa apollo sent updated policy documentthe apollo app still show policy expired despite several ticket reminder month empty promise whatsapp reflect app soon niva bupa app also downloads old policy document despite providing policy date update payment receipt confirmation,"Review -> Policy Management, Payment Processing, Document Updates, App Functionality, Customer Support",Negative
using app since 2 month seamlessly bad experience today slot 730 830 senior citizen mother fast executive arrived give small duraton missed call 822 claim responded hence cancelled dont app share executive contact number prior u 730 reach prior oversmart executive ahead else share current location,"Review -> Delivery Time, Executive Behavior, Location Sharing, Contact Information, Scheduling",Negative
frustrating app address selection proper auto selects start even selecting correct one list revers auto selection next page even deleted address auto selecting started showing city asks complete address ignoring correct address trying select saved list surprising large famous company,"Review -> Address Selection, Auto-Selection, Saved Address Management, Location Services, User Interface",Negative
apparently app premium supposed providing free delivery changed discounted promotion said free test every circle join failed mention city resides collection center refund start charging platform fee packaging fee delivery charge also health credit put limit well order 500 use health credit seriously app tata group,"Review -> Delivery, Packaging Fee, Delivery Charge, Health Credit, Refund, Promotion, Collection Center, Platform Fee",Positive
horrible chat support despite sharing photo complaint apollo exec sending message since receiving response end closing chat need assistance simply type message reinitiate chat thank understanding choosing apollo 247,"Review -> Chat Support, Online Consultation, Diagnostic Services, Medicine Delivery, Customer Service",Positive
im usual review writer app made write review big scam name health insurance apollo premium account circle member also lab test obvious benefit circle membership never trust app bought insurance asking pay extra 6k avail insurance never get trap scam,"Review -> Health Insurance, Lab Test, Membership Benefits, Online Consultation, Payment and Pricing",Both Positive and Negative
would definitely recommend app others there thing needed fixed please add filter element filter section price skin type ingredient etc etc one filter element brand filter element added would much easier u select product niche,"Review -> Filter Options, Product Sorting, Search Functionality",Positive
people writing script enable location multiple time declined irriting lotthe pop goind untill enable location give permission enable location user want decline location accept please fix bug urgent eve adding address location people want device location location detail,"Review -> Location Services, Permission Management, User Interface",Positive
worst app ever recent order applied coupon provided app named phonepeupi supposed get rs500 cashback phonepe fulfill criterion didi applied coupon order placedafter payment didnt get sort cashbackbenefits coupon denied telling coupon eligible order scamming customer fake couponsi wouldve got better discount app,"Review -> Coupon Application, Cashback Benefit, Order Placement, Payment Processing",Negative
give u wishlisting product option know lost name product planned buy install apps wishlist option need wishlist option please already mailed sept 2024 said youll look come give u wishlisting product option 4 wishlist option,"Review -> Wishlist Option, Install Apps, Product Planning, Buying Option",Both Positive and Negative
awful app following problem faced 1 app show follow day every doctor pay consultation fee enough time get test done submit 2 make connecting doctor less confusing 3 prescription get popup place order prescription medicine click place order without letting set quantity lot problem word count exceeding 500 word limit,"Review -> Online Doctor Consultations, Diagnostic Test Booking, Prescription Management, Order Management, User Interface",Negative
