Review,Feature,Emotion
edit fixed thanks lot quick response dont know happened calorie tracker option moved absolute dumb reason need open tab track calorie key feature app app really good recent update literally felt unnecessary dont tester test ease usability app making harder user really disappointed recent update fix asap,"Review -> Calorie Tracker, Ease of Use, Usability",Negative
struggling delayed period weight gain tried multiple diy nutritionist gym still able figure way come ended finding healthify one friend used well using app ai coach ria snap feature saviour meal track really helped shaped routine happily loosing weight regularising period would highly recommend everyone use healthify,"Review -> AI Coach, Meal Tracking, Weight Loss Features",Positive
decided give healthify diabetes plan try october 2024 3 month ive always little skeptical online program one really surprised diet workout coach constantly checking inthey review every meal log every workout video upload offering helpful advice pushing better ive lost 7 kg diabetes level improved personalized attention amazingi extended plan 6 month,"Review -> Personalized Diet Plan, Workout Coaching, Progress Tracking, Meal Logging, Workout Video Upload, Personalized Attention, Weight Loss, Diabetes Management",Positive
lot macronutrient guide quite inaccurate example 3 chicken tenderloin saying 09 gram protein reality would roughly 825 gram source say different thing chicken known high protein earth would low 09 gram 3,Review -> Macronutrient Information Accuracy,Negative
pcos struggle since late teen irregular cycle weight gain constant fatigue made hard stay positive health id tried multiple diet nothing worked snap feature app made realize wasnt eating enough protein healthy fat literally track everything take picture phone coach provided customized meal plan included simple swap like replacing refined carbs whole grain adding fibe,"Review -> Snap Feature, Customized Meal Plan, Tracking Feature",Positive
ive using app since 2016 really good feature like diary could see many day ive logged foodmy step logged per day workout ive gotten day calendar format removed insight food logged took dec 24 stopped syncing google fit dosent count step workout dosent get logged right even 10k step every day say step others 0 cal horrible,"Review -> Food Logging, Step Tracking, Workout Logging, Calendar View, Google Fit Integration, Data Syncing, Insight Generation, Data Accuracy",Positive
undergoing knee surgery last year gained lot weight due limited mobility doctor recommended healthify help get back track joined august 2024 app incredible coach created lowimpact workout plan tailored recovery snap feature make easy log meal smart scale help track weight also muscle gain fat loss super motivating five month ive lost 8 kg regained confidence,"Review -> Low-impact Workout Plan, Meal Logging, Smart Scale, Weight Tracking, Muscle Gain Tracking, Fat Loss Tracking, Coaching, Motivation",Positive
rarely ever write review im writing one healthify app changed life almost every single thing eat ive counting calorie since past 3 year free saw healthify going paid app disappointment immeasurable day ruined please allow people track calorie free ive even got many people use app people want maintain weight lose less 10 kg dont need paid app please switch back,"Review -> Calorie Tracking Feature, Free Version/Pricing Model",Positive
totally upset appwhy tracking food g instead gram daily cucumber daily need write like could track edit gram many item made change murmura bhel 280 gm app 571 cal mobile app 280 gm murmura bhel 334 cal added different app tracker every month people make change get used one system time change pathetic,"Review -> Food Tracking, Calorie Tracking, Unit Conversion (e.g. gram tracking)",Negative
ive using pcos plan say coach amazing sweet lover losing weight pcos tough diet coach suggested delicious lowcalorie alternative curb craving ive also started working regularly progress feel great starting 25kg dumbbell handling 7510kg confidence boost keep sending meal photo workout video coach always responsivecorrecting happy,"Review -> Personalized Diet Coaching, Weight Loss Support, Progress Tracking, Responsive Customer Support",Positive
