Reviews,cleaned_review,cluster
"Need to add the ability to say ""snooze"" for alarms on the Google Nest Hubs. Also, the Home app would be GREATLY improved if it placed a box around faces that the camera sees. I constantly get alerts for a familiar face in my garage, even though there is absolutely no person or animal in the garage. So I have no idea what the camera thinks is a person. Lastly, the Home app tends to freeze for 5 to 20 seconds when viewing the live camera feed on wifi or broadband connections with full signal.",need add ability say snooze alarm google nest hub also home app would greatly improved placed box around face camera see constantly get alert familiar face garage even though absolutely person animal garage idea camera think person lastly home app tends freeze 5 20 second viewing live camera feed wifi broadband connection full signal,0
"Overall it works, but there are some very poor design choices. For example, creating an automation for my govee lights only allows me to pick a set of pre-chosen light colors that map extremely poorly to the actual lights' colors, and there's no way to test what they look like without saving the automation, exiting, and playing it. But choosing a color for the lights outside of the automation screen offers a full color wheel that maps much more closely to the actual light colors.",overall work poor design choice example creating automation govee light allows pick set prechosen light color map extremely poorly actual light color there way test look like without saving automation exiting playing choosing color light outside automation screen offer full color wheel map much closely actual light color,0
"Be great if my app would connect to my nest speakers. Getting sick of losing use of my Google speakers once every update, claims I'm not on the same wifi as them, or that I need to restart my wifi. Guess what Google I have reset my wifi FIVE TIMES this weekend trying to get my speaker working and IT STILL WON'T CONNECT! Now I can't even add back on one of my Mini speakers because your app SUCKS. Come on Google, if you're going to use them to listen in on us, at least let the dang things work!!",great app would connect nest speaker getting sick losing use google speaker every update claim im wifi need restart wifi guess google reset wifi five time weekend trying get speaker working still wont connect cant even add back one mini speaker app suck come google youre going use listen u least let dang thing work,0
"Somehow the integration with Philips Hue bulbs (one of the main reasons that I got Google Home/Nest/Hub devices) has completely gone downhill over the past few years. It used to work seamlessly, then started to disconnect for minutes to hours at a time, and now they've completely stopped working for about two weeks. Many other users have reported the same issue online—can we get a fix Google, and fast? My bulbs still work with the dedicated Hue app, so presumably the issue lies on Google's side.",somehow integration philip hue bulb one main reason got google homenesthub device completely gone downhill past year used work seamlessly started disconnect minute hour time theyve completely stopped working two week many user reported issue onlinecan get fix google fast bulb still work dedicated hue app presumably issue lie google side,0
"Cameras work better than expected. Clear HDR, notifications rarely delayed or wrong. App on the other hand is a complete dumpster fire, buggy, Constant spinning blue circle. Constant disconnects. ""Tell us more (optional)"" ...yep, spinning blue circle. Constant ""This video isn't available for viewing yet, check back later"". Google fixes one thing but creates 10 more bugs. Another ""Killed by Google"" product. Don't waste your money on this garbage. Do better Google. This garbage keeps getting worse",camera work better expected clear hdr notification rarely delayed wrong app hand complete dumpster fire buggy constant spinning blue circle constant disconnect tell u optional yep spinning blue circle constant video isnt available viewing yet check back later google fix one thing creates 10 bug another killed google product dont waste money garbage better google garbage keep getting worse,0
"It tries to be so many things but little to nothing well. Faulty UI sprinkled throughout. Also, if you have older Nest cams, the Home app is not for you unless you don't want any interactive features. However, if you dont want features, then, yes, you want Home. Feedback: Google should here interns to sift thru all the comments instead of having customers go to a form and do the work for Google. Finally, make the camera viewing have a 15 second skip feature. It's a no-brainer feature.",try many thing little nothing well faulty ui sprinkled throughout also older nest cam home app unless dont want interactive feature however dont want feature yes want home feedback google intern sift thru comment instead customer go form work google finally make camera viewing 15 second skip feature nobrainer feature,0
Setting up a Google nest router is extremely complicated. It's much easier to do on a computer and you have to use the app with these devices. If you had it set up on one phone you get a new phone afterwards. The Google home app doesn't always add the old home information or you have to set up completely and wipe the router in order to set it up on the new phone. It is a huge hassle and not recommended. Avoid Google nest products at all costs. The free device is just too costly to use,setting google nest router extremely complicated much easier computer use app device set one phone get new phone afterwards google home app doesnt always add old home information set completely wipe router order set new phone huge hassle recommended avoid google nest product cost free device costly use,0
"Devs cant Remove Local Devices?bull. Basic functionality that was around like 7 years ago, like sending a text message through voice has become non-existent. In the event that it actually does cue it up. The functionality that used to have ie: adding to the end of the message, if cut you off. Would you like to send? ""add to it"" is no longer functioning. IF function 7 yrs ago....welllll. I get it it, must be hard, with every device out there trying to keep up. but hey you made it. lay in it",devs cant remove local devicesbull basic functionality around like 7 year ago like sending text message voice become nonexistent event actually cue functionality used ie adding end message cut would like send add longer functioning function 7 yr agowelllll get must hard every device trying keep hey made lay,0
The time and weather became ridiculously small! Why would you guys change what was essentially one of the best features of the Chromecast? Not user friendly and extremely ageist and discriminatory. My low vision mom can't see the clock anymore. What is wrong with you? Fix it and turn it back! I have pretty great eyesight and have to be up close and personal to see anything. Ridiculous. Change it back. Thank God Roku isn't like this. Change it back or at least give an option to large scale.,time weather became ridiculously small would guy change essentially one best feature chromecast user friendly extremely ageist discriminatory low vision mom cant see clock anymore wrong fix turn back pretty great eyesight close personal see anything ridiculous change back thank god roku isnt like change back least give option large scale,0
"Useless app for wifi management. Cannot even do the simplest of tasks. Wish I had not purchased. Edit: stating you are looking for ways to improve is an insincere gesture. Linking to a useless article is a thought-terminating cliché. Basic router settings like renaming 2.4 and 5 GHz with separate SSIDs should not become inaccessible after an update. Update: Is now even more useless. Google Speakers randomly ""unavailable"" even when connected and playing music.",useless app wifi management cannot even simplest task wish purchased edit stating looking way improve insincere gesture linking useless article thoughtterminating cliché basic router setting like renaming 24 5 ghz separate ssids become inaccessible update update even useless google speaker randomly unavailable even connected playing music,0
4 years after my first 1 star review and basic features are still missing that the old Nest app had. Scrubbing through video is painfully slow. No way to simply jump in small increments. Audio only plays through ear speaker instead of main speaker. Continuous recording advertised for some cameras (i.e. battery cameras connected to solar) but doesn't actually work even with valid subscription. Other users constantly get randomly removed from the home and need to get re-added. The list goes on.,4 year first 1 star review basic feature still missing old nest app scrubbing video painfully slow way simply jump small increment audio play ear speaker instead main speaker continuous recording advertised camera ie battery camera connected solar doesnt actually work even valid subscription user constantly get randomly removed home need get readded list go,0
"terrible UI. tiny squares that don't even fit the names of the devices. I setup a Google TV and it shows in the app but will not show me a remote or any control capabilities. Google smart products are consistently the worst on the market. I would avoid their TVs and smart devices at all costs. For routines, if you select a Playlist to play it cannot find it. You cannot use smart devices to kickoff a routine, like a temp sensor shows the temp but you cannot create an action. Useless.",terrible ui tiny square dont even fit name device setup google tv show app show remote control capability google smart product consistently worst market would avoid tv smart device cost routine select playlist play cannot find cannot use smart device kickoff routine like temp sensor show temp cannot create action useless,0
"Time to update the review on how much more useless the entire Google Home automation ecosystem is. No longer able to play personal music playlists, unable to find them half the time and just plays random public playlists, even though it's running a hard coded automated command. No longer can play a playlist shuffled by default. Introduced gimmicky AI responses that just messes with your commands because the probability models of the LLM try to get cute with trying to do basic things.",time update review much useless entire google home automation ecosystem longer able play personal music playlist unable find half time play random public playlist even though running hard coded automated command longer play playlist shuffled default introduced gimmicky ai response mess command probability model llm try get cute trying basic thing,0
"Edit 2: it's clear that none of the developers use this app. Utter garbage. You should be ashamed of this ap. Go back to the nest ap. Edit: Nothing they suggested worked. All of the best features in the nest app for the cameras do not exist in the home app. Original: Garbage compared to the nest app and Web interface. Why is there a delay in the video feed. Every time I open the app to watch a camera, the most recent feed is delayed. I should be able to see every second, at any time.",edit 2 clear none developer use app utter garbage ashamed ap go back nest ap edit nothing suggested worked best feature nest app camera exist home app original garbage compared nest app web interface delay video feed every time open app watch camera recent feed delayed able see every second time,0
