Review,Feature
"Trying to get away from cloud-based automation, I installed home assistant on my Synology server, as well as the integration local Tuya. Everything is functioning perfectly. So, I downloaded this app, to control using my phone. The app works well, and it's nicely laid out. However, one star off because widgets are a problem. In essence, when I tap a widget, it does what I want it to do, but then it is replaced by an endlessly spinning arrow. Fix: I have to delete the widget.",Review -> Widget Functionality
"App is great and would have been 5 stars, but the recent update that added Android 11 power menu buttons changed how location is reported. It would always regularly turn on the GPS to get a position, but it was always very brief. Just a flash. Now it keeps GPS on for a minute or longer every time I unlock my phone. It seems to be tied to power menu controls. If I remove all Home Assistant controls it reverts the old behavior. I was using only lights and scenes as power menu tiles.","Review -> Location Reporting, Power Menu Controls, GPS Functionality, Automation"
"Dark theme sucks. The app is great overall, but the app is suck always in dark theme which makes the text on my picture cards white, to contrast with the normally black background, but the picture is white, so you can't see the text at all. Very frustrating. Using my browser to view the same content looks fine. Why can't the phone app look like the web app?","Review -> User Interface, Theme Customization, Display Settings, Compatibility with Web App"
"While the app by itself works fine, the latest update is a bit ""temperamental"". I notice that it looses connection a lot, even when I'm on the same network as my Home Assistant is, and suddenly the Battery and WiFi sensors disappeared. I hope truly that this can be fixed, because I think it is a great addition to Home Assistant. Specifically the fact, that it updates location. Please keep up the good work! And I hope that more sensors will be added. In Hass Logs: [homeassistant.components.mobile_app.webhook] Refusing to update non-registered sensor","Review -> Connection Stability, Sensor Availability, Location Updates, Sensor Variety"
"Awesome App, but pleeeease assign the ""Location is disabled"" notification to another channel so I can disable that one specifically. I only use the wifi sensors on my phone and they work fine without location but I keep getting the notification everytime I open the app which is really annoying and I don't want to disable the notifications as a whole","Review -> Notification Management, Location Services, Sensor Integration"
The main server app is great but this phone app is not. Been requesting support for multiple servers/homes for years and am baffled why it is still missing. Adding a second server will delete the first. You cannot have more than one home through the app.,"Review -> Multi-Server Support, Multi-Home Support"
"Need improvements to widgets, For example you can provide an option to auto update home screen widgets data every 5mins or else depending on user selection, And can also provide option to hide widgets if no wifi is available, And it will be appreciated if u bring support of solarman inverter also, Thank you. ð","Review -> Auto Update, Widget Customization, WiFi Connectivity, Inverter Support"
"I used to be able to tap and drag along a statistic graph to quickly see changes over time but in a recent update that functionality has gone, disappointed.","I used to be able to tap and drag along a statistic graph to quickly see changes over time but in a recent update that functionality has gone, disappointed. -> Interactive Graphs, Trend Analysis"
Update: needed to use hairpin instead of local DNS. Recent update seems to have broken local / remote network traversal. Gets stuck reconnecting when switching between local or remote or vice versa. Doesn't occur when using a chrome browser session.,"Review -> Network Connectivity, Remote Access"
Something changed around November 2023. App performance is terrible. The interface is now so slow that it takes seconds to even scroll down a page. UPDATE NOV 2024: Something changed and now the custom screen I spent a lot of effort on is a disaster. These breaking changes are a problem. Please get it together. I'm paying you monthly for this.,"Review -> App Performance, Interface Responsiveness, Customization Features"
