Reviews,cleaned_review,cluster
"Trying to get away from cloud-based automation, I installed home assistant on my Synology server, as well as the integration local Tuya. Everything is functioning perfectly. So, I downloaded this app, to control using my phone. The app works well, and it's nicely laid out. However, one star off because widgets are a problem. In essence, when I tap a widget, it does what I want it to do, but then it is replaced by an endlessly spinning arrow. Fix: I have to delete the widget.",trying get away cloudbased automation installed home assistant synology server well integration local tuya everything functioning perfectly downloaded app control using phone app work well nicely laid however one star widget problem essence tap widget want replaced endlessly spinning arrow fix delete widget,0
"App is great and would have been 5 stars, but the recent update that added Android 11 power menu buttons changed how location is reported. It would always regularly turn on the GPS to get a position, but it was always very brief. Just a flash. Now it keeps GPS on for a minute or longer every time I unlock my phone. It seems to be tied to power menu controls. If I remove all Home Assistant controls it reverts the old behavior. I was using only lights and scenes as power menu tiles.",app great would 5 star recent update added android 11 power menu button changed location reported would always regularly turn gps get position always brief flash keep gps minute longer every time unlock phone seems tied power menu control remove home assistant control reverts old behavior using light scene power menu tile,0
"Dark theme sucks. The app is great overall, but the app is suck always in dark theme which makes the text on my picture cards white, to contrast with the normally black background, but the picture is white, so you can't see the text at all. Very frustrating. Using my browser to view the same content looks fine. Why can't the phone app look like the web app?",dark theme suck app great overall app suck always dark theme make text picture card white contrast normally black background picture white cant see text frustrating using browser view content look fine cant phone app look like web app,0
"While the app by itself works fine, the latest update is a bit ""temperamental"". I notice that it looses connection a lot, even when I'm on the same network as my Home Assistant is, and suddenly the Battery and WiFi sensors disappeared. I hope truly that this can be fixed, because I think it is a great addition to Home Assistant. Specifically the fact, that it updates location. Please keep up the good work! And I hope that more sensors will be added. In Hass Logs: [homeassistant.components.mobile_app.webhook] Refusing to update non-registered sensor",app work fine latest update bit temperamental notice loos connection lot even im network home assistant suddenly battery wifi sensor disappeared hope truly fixed think great addition home assistant specifically fact update location please keep good work hope sensor added hass log homeassistantcomponentsmobile_appwebhook refusing update nonregistered sensor,0
"Awesome App, but pleeeease assign the ""Location is disabled"" notification to another channel so I can disable that one specifically. I only use the wifi sensors on my phone and they work fine without location but I keep getting the notification everytime I open the app which is really annoying and I don't want to disable the notifications as a whole",awesome app pleeeease assign location disabled notification another channel disable one specifically use wifi sensor phone work fine without location keep getting notification everytime open app really annoying dont want disable notification whole,0
The main server app is great but this phone app is not. Been requesting support for multiple servers/homes for years and am baffled why it is still missing. Adding a second server will delete the first. You cannot have more than one home through the app.,main server app great phone app requesting support multiple servershomes year baffled still missing adding second server delete first cannot one home app,0
"Need improvements to widgets, For example you can provide an option to auto update home screen widgets data every 5mins or else depending on user selection, And can also provide option to hide widgets if no wifi is available, And it will be appreciated if u bring support of solarman inverter also, Thank you. 👍",need improvement widget example provide option auto update home screen widget data every 5mins else depending user selection also provide option hide widget wifi available appreciated u bring support solarman inverter also thank,0
"I used to be able to tap and drag along a statistic graph to quickly see changes over time but in a recent update that functionality has gone, disappointed.",used able tap drag along statistic graph quickly see change time recent update functionality gone disappointed,0
Update: needed to use hairpin instead of local DNS. Recent update seems to have broken local / remote network traversal. Gets stuck reconnecting when switching between local or remote or vice versa. Doesn't occur when using a chrome browser session.,update needed use hairpin instead local dns recent update seems broken local remote network traversal get stuck reconnecting switching local remote vice versa doesnt occur using chrome browser session,0
Something changed around November 2023. App performance is terrible. The interface is now so slow that it takes seconds to even scroll down a page. UPDATE NOV 2024: Something changed and now the custom screen I spent a lot of effort on is a disaster. These breaking changes are a problem. Please get it together. I'm paying you monthly for this.,something changed around november 2023 app performance terrible interface slow take second even scroll page update nov 2024 something changed custom screen spent lot effort disaster breaking change problem please get together im paying monthly,0
