Review,Feature,Emotion
"Unwanted Welcome message on TV, taking up 1/5 of my 55"" screen, overlapping my programs on several occasions when I was unable to respond because I could not find my remote, but as soon as I found my remote to click the OK checkbox at the bottom of the message, the welcome message from Smart Things has never reappeared. I haven't used this app on my phone except to connect new devices, but it did work smoothly ten years ago when my TV became unresponsive after I lost my remote for good.","Device Connection, Remote Control, Notification Management, App Responsiveness",Positive
"The latest update ruined the remote control feature. The pause, FF, rewind options are gone, so it's basically useless. Using the app to control the TV was so much better than the almost buttonless tiny remote that came with the TV, but now I'm forced to deal with that little remote. Please go back to the way the remote was in the app. Or at least add back the ability to do more than adjust the volume or change the channel.","Remote Control Feature, User Interface, Volume Control, Channel Control, Pause Function, Fast Forward Function, Rewind Function",Negative
"Garbage app. Installed for a TV purchase. Love the TV hate the bloaty useless pre installed apps and lack of Google compatibility... same with this app. It is about as helpful as soggy toilet paper. More bloat and features you cannot use unless you have a Samsung garbage phone. Cannot use calibration feature which is the only thing I wanted. Pixel 9xl Pro and nope. Useful if you break or lose the garbage TV remote, if you can get through the bloated garbage. Good luck, Samsung is awful.","Compatibility, Calibration Feature, Remote Control, Ease of Use",Negative
"I always come back to leave one star reviews because I think this app is that bad. Never works well. Constantly can't even connect to my tv then I have to unplug my tv. I try using smart things when I can't find my remote to turn my tv on but the app tells me to find the remote to turn the tv on, literally. Completely defeats the purpose of the app and my buying a Samsung tv. That's a mistake I won't be making again. There are even less expensive options that perform way better than Samsung","Connectivity, Remote Control, Compatibility, Ease of Use",Negative
"This app stopped powering on our 75"" Samsung Frame a few updates ago. I can still power on our older 82"" Samsung and control the stove and dishwasher. I've deleted the phone and re-added, even got a new phone, an s24 Ultra, since this started. Everything else works it's just the power button that doesn't. I can hit the home button on our Roku app and that will turn the Frame on. It will turn it off but not on.","Device Control, Compatibility, App Functionality",Negative
"Trying to use this app with my new Frame TV but every time I open the app, it takes several minutes to load and it forces me to re-cancel permissions I've opted out of. When the art category at the bottom finally populates, the art store only recognizes my membership only about half the time (often I'm only offered previews) and when it does recognize my membership, the whole store usually crashes after I view about three images. Complete garbage.","Loading Time, Permission Management, Membership Recognition, App Stability, Image Viewing",Both Positive and Negative
"What an incredibly frustrating user experience. I keep trying to get the TV to use a soundbar but the output setting automatically reverts itself. Also this app opens the Samsung login page every freaking 5 seconds. The TV and the sound bar are connected with an HDMI eARC cable. There's nothing wrong with my setup but this app is extremely unintuitive, and keeps changing things away from the way it's supposed to work which is in theory actually very simple. Guess I won't be buying Samsung again","Ease of Use, Connectivity, Authentication, User Interface, Device Control, Compatibility",Negative
"This remote is every regret that I have about buying a Samsung over a Hisense roku TV. We can't ever keep track of a remote, so it was inevitable we would download this. It constantly wants us to sign into our Samsung account. Then it says that it won't work with my browser. Then I try to open it with another browser and I get stuck in a loop. Sometimes a message will appear on the TV but the remote won't connect to get rid of it. It won't even download onto our children's phones at all.","Account Sign-in, Browser Compatibility, Device Connectivity, Download and Installation, Remote Control Functionality",Negative
"Samsung device, Samsung app, Pixel phone. Does everything have to be Samsung for this POS to work? I haven't been able to control the TV with this app since I installed it 2 phones ago. The routines work for turning the TV on and off, which is why I give two stars. But if I misplace my physical remote, the app thinks the TV is off when it's on. So hey, I thought. Let's delete the device from the app and add it back. Maybe that will do it. But if there's a way to do that, I can't find it.","Device Control, Routine Building, Device Status Updates, App Compatibility, Device Removal/Re-addition",Both Positive and Negative
"Works great Ã°ÂÂÂ I use it because I run two Samsung TVs side by side and I often need to control them separately, but they have the same remote codes... So if you use this app for one of them it goes through the wireless connection as opposed to using the IR blaster like most remote controls do. So, I simply put a piece of black tape over the IR receiver on the TV I wanted to control via this app, and now I have one that responds only to the stock remote and one that operates through this app!Ã°ÂÂÂ°","Wireless Connection, Multi-Device Control, IR Blaster Alternative",Positive
