Reviews,cleaned_review,cluster
"Unwanted Welcome message on TV, taking up 1/5 of my 55"" screen, overlapping my programs on several occasions when I was unable to respond because I could not find my remote, but as soon as I found my remote to click the OK checkbox at the bottom of the message, the welcome message from Smart Things has never reappeared. I haven't used this app on my phone except to connect new devices, but it did work smoothly ten years ago when my TV became unresponsive after I lost my remote for good.",unwanted welcome message tv taking 15 55 screen overlapping program several occasion unable respond could find remote soon found remote click ok checkbox bottom message welcome message smart thing never reappeared havent used app phone except connect new device work smoothly ten year ago tv became unresponsive lost remote good,3
"The latest update ruined the remote control feature. The pause, FF, rewind options are gone, so it's basically useless. Using the app to control the TV was so much better than the almost buttonless tiny remote that came with the TV, but now I'm forced to deal with that little remote. Please go back to the way the remote was in the app. Or at least add back the ability to do more than adjust the volume or change the channel.",latest update ruined remote control feature pause ff rewind option gone basically useless using app control tv much better almost buttonless tiny remote came tv im forced deal little remote please go back way remote app least add back ability adjust volume change channel,3
"Garbage app. Installed for a TV purchase. Love the TV hate the bloaty useless pre installed apps and lack of Google compatibility... same with this app. It is about as helpful as soggy toilet paper. More bloat and features you cannot use unless you have a Samsung garbage phone. Cannot use calibration feature which is the only thing I wanted. Pixel 9xl Pro and nope. Useful if you break or lose the garbage TV remote, if you can get through the bloated garbage. Good luck, Samsung is awful.",garbage app installed tv purchase love tv hate bloaty useless pre installed apps lack google compatibility app helpful soggy toilet paper bloat feature cannot use unless samsung garbage phone cannot use calibration feature thing wanted pixel 9xl pro nope useful break lose garbage tv remote get bloated garbage good luck samsung awful,3
"I always come back to leave one star reviews because I think this app is that bad. Never works well. Constantly can't even connect to my tv then I have to unplug my tv. I try using smart things when I can't find my remote to turn my tv on but the app tells me to find the remote to turn the tv on, literally. Completely defeats the purpose of the app and my buying a Samsung tv. That's a mistake I won't be making again. There are even less expensive options that perform way better than Samsung",always come back leave one star review think app bad never work well constantly cant even connect tv unplug tv try using smart thing cant find remote turn tv app tell find remote turn tv literally completely defeat purpose app buying samsung tv thats mistake wont making even less expensive option perform way better samsung,3
"This app stopped powering on our 75"" Samsung Frame a few updates ago. I can still power on our older 82"" Samsung and control the stove and dishwasher. I've deleted the phone and re-added, even got a new phone, an s24 Ultra, since this started. Everything else works it's just the power button that doesn't. I can hit the home button on our Roku app and that will turn the Frame on. It will turn it off but not on.",app stopped powering 75 samsung frame update ago still power older 82 samsung control stove dishwasher ive deleted phone readded even got new phone s24 ultra since started everything else work power button doesnt hit home button roku app turn frame turn,3
"Trying to use this app with my new Frame TV but every time I open the app, it takes several minutes to load and it forces me to re-cancel permissions I've opted out of. When the art category at the bottom finally populates, the art store only recognizes my membership only about half the time (often I'm only offered previews) and when it does recognize my membership, the whole store usually crashes after I view about three images. Complete garbage.",trying use app new frame tv every time open app take several minute load force recancel permission ive opted art category bottom finally populates art store recognizes membership half time often im offered preview recognize membership whole store usually crash view three image complete garbage,3
"What an incredibly frustrating user experience. I keep trying to get the TV to use a soundbar but the output setting automatically reverts itself. Also this app opens the Samsung login page every freaking 5 seconds. The TV and the sound bar are connected with an HDMI eARC cable. There's nothing wrong with my setup but this app is extremely unintuitive, and keeps changing things away from the way it's supposed to work which is in theory actually very simple. Guess I won't be buying Samsung again",incredibly frustrating user experience keep trying get tv use soundbar output setting automatically reverts also app open samsung login page every freaking 5 second tv sound bar connected hdmi earc cable there nothing wrong setup app extremely unintuitive keep changing thing away way supposed work theory actually simple guess wont buying samsung,3
"This remote is every regret that I have about buying a Samsung over a Hisense roku TV. We can't ever keep track of a remote, so it was inevitable we would download this. It constantly wants us to sign into our Samsung account. Then it says that it won't work with my browser. Then I try to open it with another browser and I get stuck in a loop. Sometimes a message will appear on the TV but the remote won't connect to get rid of it. It won't even download onto our children's phones at all.",remote every regret buying samsung hisense roku tv cant ever keep track remote inevitable would download constantly want u sign samsung account say wont work browser try open another browser get stuck loop sometimes message appear tv remote wont connect get rid wont even download onto childrens phone,3
"Samsung device, Samsung app, Pixel phone. Does everything have to be Samsung for this POS to work? I haven't been able to control the TV with this app since I installed it 2 phones ago. The routines work for turning the TV on and off, which is why I give two stars. But if I misplace my physical remote, the app thinks the TV is off when it's on. So hey, I thought. Let's delete the device from the app and add it back. Maybe that will do it. But if there's a way to do that, I can't find it.",samsung device samsung app pixel phone everything samsung po work havent able control tv app since installed 2 phone ago routine work turning tv give two star misplace physical remote app think tv hey thought let delete device app add back maybe there way cant find,3
"Works great 😃 I use it because I run two Samsung TVs side by side and I often need to control them separately, but they have the same remote codes... So if you use this app for one of them it goes through the wireless connection as opposed to using the IR blaster like most remote controls do. So, I simply put a piece of black tape over the IR receiver on the TV I wanted to control via this app, and now I have one that responds only to the stock remote and one that operates through this app!🍰",work great use run two samsung tv side side often need control separately remote code use app one go wireless connection opposed using ir blaster like remote control simply put piece black tape ir receiver tv wanted control via app one responds stock remote one operates app,3
