Reviews,cleaned_review,cluster
"day two and I'm already feeling the change in my stress level. free trial gave me access to everything so I haven't looked around and seen all that available, but so far, I'm VERY impressed by this app!! I'm already feeling less anxious and if I ever hit a panic attack, they have an SOS meditation guide for on the spot needs. I love this one so much, can't wait to see what all I can get accomplished as I strive towards a more stress free life! thank you devs so much for opening up the trial!!❤️❤",day two im already feeling change stress level free trial gave access everything havent looked around seen available far im impressed app im already feeling less anxious ever hit panic attack so meditation guide spot need love one much cant wait see get accomplished strive towards stress free life thank devs much opening trial,1
"I did the Balance one year free trial a few years ago but didn't manage to build a consistent habit and ended up trying a few apps that were either totally free or had a good number of free meditations. I ended up coming back to Balance and buying a lifetime membership and am meditating daily now. I like that each meditation adapts and that some gives options (like the Pomodoro session). I also like that everything is rooted in science and explanations are given, no esoterism to be found.",balance one year free trial year ago didnt manage build consistent habit ended trying apps either totally free good number free meditation ended coming back balance buying lifetime membership meditating daily like meditation adapts give option like pomodoro session also like everything rooted science explanation given esoterism found,1
"Really great app. Love all the quiet options to relax for bed or have soothing white noise type things playing. Would be 5 stars if there were cast support. My kids love the sleep meditations, and I can use the media output settings built into my phone to play things on the Google speakers in their rooms, but it's clunky and disconnects all the time. Cast support would be great to set it and forget it so it's playing on its own and not relying on my phone. Other than that, I love it!",really great app love quiet option relax bed soothing white noise type thing playing would 5 star cast support kid love sleep meditation use medium output setting built phone play thing google speaker room clunky disconnect time cast support would great set forget playing relying phone love,1
"It would be good, if there was an option, to restart the meditation plans at any points, if I feel got lost with them, or repeat anytime in a later point in the future. Also there is a bug, if a fullscreen notification comes up, like a calendar reminder, will makes the meditation stop, and when recognising that it was stopped, and get the notification out of the way, the meditation would just start from the beginning, instead continue from the point it was disrupted.. Please resolve these.",would good option restart meditation plan point feel got lost repeat anytime later point future also bug fullscreen notification come like calendar reminder make meditation stop recognising stopped get notification way meditation would start beginning instead continue point disrupted please resolve,1
"I was diagnosed with dysautonomia (from covid) and have troubles with anxiety, tachycardia, blood pressure spikes, pvcs, fatigue, seeing/feeling/hearing my pulse, chest pain, pressure in chest, vertigo, vision blacking out, etc. I stumbled upon this app, and it has really helped me to reduce stress levels, raise my HRV, get a better night's sleep, gain more energy, and am able to switch back into parasympathetic much faster now. If you struggle with stress or sleep, I HIGHLY recommend Balance!",diagnosed dysautonomia covid trouble anxiety tachycardia blood pressure spike pvc fatigue seeingfeelinghearing pulse chest pain pressure chest vertigo vision blacking etc stumbled upon app really helped reduce stress level raise hrv get better night sleep gain energy able switch back parasympathetic much faster struggle stress sleep highly recommend balance,1
I'm on Day 2 of the free 1-year trial. I love the guided meditation practices and the numerous categories that you can choose from. There's also an unguided option in case you don't or can't follow along with a guided session. It can be distracting for some people to hear someone throughout a 5- or 10-minute session. I've been going through a severe depressive episode and bouts of general anxiety. These last two sessions helped me to focus and mentally regroup. I can't wait to practice more.,im day 2 free 1year trial love guided meditation practice numerous category choose there also unguided option case dont cant follow along guided session distracting people hear someone throughout 5 10minute session ive going severe depressive episode bout general anxiety last two session helped focus mentally regroup cant wait practice,1
"I have been looking for a good, efficient mental & emotional health company & app where I can truly feel the results and I don't have to stop & be limited because of subscription costs. although I agree with subscription costs in order ro run the company, staff & all things related to the app, it made it difficult for me to get healthy. but when I tried this company & their app, their kind yr long free subscription has truly helped & I just started last night. I am forever greatful. I recommend!",looking good efficient mental emotional health company app truly feel result dont stop limited subscription cost although agree subscription cost order ro run company staff thing related app made difficult get healthy tried company app kind yr long free subscription truly helped started last night forever greatful recommend,1
"I saw this was offered at a full year for free & I was immediately interested. Most apps give you, at most, 2 weeks free. I felt they must have faith in their product to offer that kind of promo. I've used it daily, 1-3 times per day, for 3 weeks. It is hands down the best meditation app I've ever used. I look forward to meditating instead of feeling like it's a chore or task to complete. I've gotten a few friends using it also. I'm hoping I'll be able to afford the lifetime discount plan. 🤞",saw offered full year free immediately interested apps give 2 week free felt must faith product offer kind promo ive used daily 13 time per day 3 week hand best meditation app ive ever used look forward meditating instead feeling like chore task complete ive gotten friend using also im hoping ill able afford lifetime discount plan,1
"This is by far the BEST meditation app out there. I love all the singles, I love that in the ""breaking habits"" one if you select smoking they don't specifically say cigarettes in the meditation (I'm trying to quit weed). Ofosu has a very soothing voice and I love all the educational aspects. I got a whole year free trial and I try to use it every day. This is the only app that's actually helped me sustain a meditation habit, and I've tried a LOT of them. And there are NO ADS in the free version!",far best meditation app love single love breaking habit one select smoking dont specifically say cigarette meditation im trying quit weed ofosu soothing voice love educational aspect got whole year free trial try use every day app thats actually helped sustain meditation habit ive tried lot ad free version,1
"I love this app!!! Due to undiagnosed ADHD, I stopped meditating due to my increasing inability to sit, focus, and enjoy the moment. I typically never gravitated towards guided meditation because the repetition was even worse. Balance has restored my meditation routine bc the meditation can be as little as 5 minutes, and you never get the same guided meditation twice!!!! That keeps me engaged and looking forward to the next one. I've gifted one year to so many ppl. You'll love it!",love app due undiagnosed adhd stopped meditating due increasing inability sit focus enjoy moment typically never gravitated towards guided meditation repetition even worse balance restored meditation routine bc meditation little 5 minute never get guided meditation twice keep engaged looking forward next one ive gifted one year many ppl youll love,1
"I came into this with an open mind. No set expectations , just a curiosity and a willingness to try and to give it my all, no halfway effort. This has really made a complete positive change to my overall feeling mentally, physically and emotionally I feel better... I had played the exercises aloud and my friend wants to do this as well. The guide is amazing, his voice.is everything, his manner is positive and warm. How he connects and comes across reached me",came open mind set expectation curiosity willingness try give halfway effort really made complete positive change overall feeling mentally physically emotionally feel better played exercise aloud friend want well guide amazing voiceis everything manner positive warm connects come across reached,1
The nightly meditations and the daily skills I'm learning to meditate even better. I feel more relaxed when ever I finish one. At night it never fails to put me to sleep. I like that the lessons are short because I don't always have a lot of time on my hands. The fact that I get to try it free for a year too is great. It gives me a chance to really decide whether it's something that will work to help lower my stress and help me to gain better focus throughout the day. Thank you Balance!!!,nightly meditation daily skill im learning meditate even better feel relaxed ever finish one night never fails put sleep like lesson short dont always lot time hand fact get try free year great give chance really decide whether something work help lower stress help gain better focus throughout day thank balance,1
"Lovely, generous. Adaptive to whatever your needs are. Personalized to each individual and their skill level. The best part for me is the speakers voices are fantastic. I tend to fixate on anything weird about a voice, like ticks, odd pauses, or gravelly/ nasal tone. But their voices are smooth, perfect, relaxing. This app has really helped me build a meditation practice daily and sleep at night. This is the first meditation app that also was able to teach me to breath correctly. Thank you!!!",lovely generous adaptive whatever need personalized individual skill level best part speaker voice fantastic tend fixate anything weird voice like tick odd pause gravelly nasal tone voice smooth perfect relaxing app really helped build meditation practice daily sleep night first meditation app also able teach breath correctly thank,1
"I've been using this for a couple months on my phone and really liked it, of all the meditation apps I've tried it's the only one I found with sleep meditations long enough to actually help me sleep. Unfortunately, I just bought a new tablet and it doesn't work on it, it crashes immediately after the initial 'B' screen. Tried restarting the tablet, force quitting the app, uninstall and reinstall, but nothing has helped, so as it is the app is unusable on my device (still works fine on my phone).",ive using couple month phone really liked meditation apps ive tried one found sleep meditation long enough actually help sleep unfortunately bought new tablet doesnt work crash immediately initial b screen tried restarting tablet force quitting app uninstall reinstall nothing helped app unusable device still work fine phone,1
"As of now, more limited meditation options compared to Headspace and the like. Still, the way the teachers emphasize certain physical skills to help, like focusing on a breath count or sensations at your pace, is amazing. Other programs I've tried so far focus on what the instructor's rate of breathing is, or vague descriptions of refocusing. The different methods taught in this app has helped me stay focused during the meditation (I have adhd, so that's a big thing for me). So far, so good.",limited meditation option compared headspace like still way teacher emphasize certain physical skill help like focusing breath count sensation pace amazing program ive tried far focus instructor rate breathing vague description refocusing different method taught app helped stay focused meditation adhd thats big thing far good,1
"I'm only on day 4, so I'm relatively new, but don't take this lightly...this is life changing. I suffer from chronic pain from Fibro, migraines, degenerative disk disease, etc. Things get better and worse, but research is showing Meditation is one of the best ways to treat chronic pain. I've never been able because it's always been ""visualize clouds"", etc. None of that here so far. Straight forward, understandable, and truly helpful. I'm doing several programs and singles easily. Thank you!!",im day 4 im relatively new dont take lightlythis life changing suffer chronic pain fibro migraine degenerative disk disease etc thing get better worse research showing meditation one best way treat chronic pain ive never able always visualize cloud etc none far straight forward understandable truly helpful im several program single easily thank,1
"Downloaded a few months ago and am hooked! I use it every night to sleep. Love the simple app design that's easy to use doesn't overload with info, but allows you to click for deeper reading. I've listened to many meditation podcasts and calm type apps and this speaker's voice and energy is one of the most calming I've heard. I also love that the app will play simultaneously with Spotify, so I can play waterfall sounds or light music behind it if I choose. Seriously give it a try!",downloaded month ago hooked use every night sleep love simple app design thats easy use doesnt overload info allows click deeper reading ive listened many meditation podcasts calm type apps speaker voice energy one calming ive heard also love app play simultaneously spotify play waterfall sound light music behind choose seriously give try,1
I really like the daily program ❤️ It's increasing my confidence in my own ability to meditate consistently. The narrator's is great ☺️ I feel like all the sessions are personal and feel live. He doesn't instruct in a pre-recorded manner so that it feels like you are being left behind. He speaks like he has all day. I've never had an instructor have such realistic pace before. I also like that there's no background ambient music to start. I think it helps me take the sessions more seriously.,really like daily program increasing confidence ability meditate consistently narrator great feel like session personal feel live doesnt instruct prerecorded manner feel like left behind speaks like day ive never instructor realistic pace also like there background ambient music start think help take session seriously,1
"I'm about a week in and this is very well done. I'm still on the free trial (which is a year, I love it. I wish more apps did something similar.) but I'm leaning towards a lifetime license closer to my trial ending. The personalization is great, the male voice is amazing, so relaxing and wonderful. I've tried meditation before but this app allows even a short 3 minute meditation to feel powerful, meaningful, and relaxing. Even with a toddler and a full time job, I know I can find that time.",im week well done im still free trial year love wish apps something similar im leaning towards lifetime license closer trial ending personalization great male voice amazing relaxing wonderful ive tried meditation app allows even short 3 minute meditation feel powerful meaningful relaxing even toddler full time job know find time,1
"Too repetitive... I just got started, wanted to use this app for my mood mostly but also tried procrastination. Felt like I did the same course 2 times. You want better mood? Take a deep breath... and out... you want to stop procrastination? Dake a deep breath... and out... There is nothing much to it, I chose 5 minutes per meditation and half of it is pure silence, other half is extremely repetitive. Hope it changes anytime soon, otherwise I feel like I already knew all this without this app.",repetitive got started wanted use app mood mostly also tried procrastination felt like course 2 time want better mood take deep breath want stop procrastination dake deep breath nothing much chose 5 minute per meditation half pure silence half extremely repetitive hope change anytime soon otherwise feel like already knew without app,1
"Was ridiculous as a free app and was far far more than worth it when I paid for a lifetime membership. Had a headache last night that would not go away. Did the pain meditation... Gone. Couldn't get to sleep the other night. Did the sleep meditation? 😴 If something stresses me out the first thing I think is 'Gonna have to do balance tonight'. When I go to therapy and we get into some really heavy stuff, I use balance in the lyft on the way home and by the time I'm home I'm clear! It's awesome!",ridiculous free app far far worth paid lifetime membership headache last night would go away pain meditation gone couldnt get sleep night sleep meditation something stress first thing think gonna balance tonight go therapy get really heavy stuff use balance lyft way home time im home im clear awesome,1
"I'll be coming back to update this review actively. I started using Balance as of 06.01.22. I work at a fast pace environment so stress is always built up and I've had nowhere really to exhaust that pent up stress. Since I've started, after each session, I feel more relaxed and I get this interesting sensation after opening my eyes, like I'm at peace. I really like using this app any moment I can and I'm planning on keeping it.",ill coming back update review actively started using balance 060122 work fast pace environment stress always built ive nowhere really exhaust pent stress since ive started session feel relaxed get interesting sensation opening eye like im peace really like using app moment im planning keeping,1
