Review,Feature
"(EDIT) it's 100 bucks a year now?? ð WITH a discount, otherwise it's 200 bucks?? Are you all tripping? The concept is great but I do not understand why being able to check items off from the previous day is a function locked behind a paywall. Especially when the calendar changes at midnight on the dot, that means I'm constantly unable to register what I've done during the day just because I've completed a task at 00:30am. I'm not going to pay 35 bucks just for that function, it's absurd.","Review -> Goal Achievement, Time Management, Self-Awareness"
"It seems like a great app if you want to pay. The concept is great, it explores all aspects of your life to help you improve them all. However, 90% is behind a paywall of about $40 a month. I find it funny that one topic is financial frustrations, and yet... have another bill to deal with it. I'd much rather put up with ads than pay what they're asking for some simple help with life goals. I can write it out on paper for free.","Review -> Goal Achievement, Self-Awareness, Financial Management (indirectly mentioned as ""financial frustrations"")"
"Originally this was great! It had a lot of free help that was beneficial and at one point I switched to premium to benefit myself more. Some life events caused me to drop the less necessary costs in my life and I'm stable again and now it seems that every goal available is only premium. This is terrible for marketing because you can no longer sample the goals they offer and prepare for you. Now, there's very little you can do without paying.","Review -> Goal Achievement, Free/Premium Content, Sampling of Goals"
"This idea is fantastic, and i would use it non stop. But I think the cost for a subscription is kind of ridiculous. If it was cheaper I think that I would do it. The amount of free stuff is very limited so you kind of have to pay to do anything. It's a great idea, but I'm not paying 12 dollars a month for it... Im tempted, but that's too expensive. I think this app would still make a good profit without having to pay, and as annoying as ads are, it's much better than having to pay monthly","Review -> Subscription Model, Free Content Limitations, Advertisements, Monthly Payment"
I'm sure it's a great app for people who have more time than I do. I wish I could utilize the benefits of the app but it's too much content too many choices just too much I can't spend the time navigating through it to find out how exactly to use it I would say simplify it maybe offer a simplified version? it's just not the right app for me.,"Review -> Simplified User Interface, Content Overload Management, Easy Navigation, User Onboarding Process"
"This is a great app, I like the features and the goals. I'm on the free version and I get that you can't plan that far ahead because it's a premium feature. However I think seeing the things you have already added to the app you should be able to do for FREE. I would understand if we couldn't add to the past or edit past entries. But not seeing them at all I think is really point less. Would have given this app a 5 if I was just able to look at the past entries I have made.","Review -> Goal Achievement, Viewing Past Entries"
"I agree with the previous user. Seems like it could be a valuable app but I want to know up front if it's free or not instead of downloading the app, having to create an account then get hit with the pricing before I can continue using the app. Theres no point in being deceptive (not sure if that was the intent or not) but it's always better to let ppl know up front if there is a charge involved instead of them having to find out on the back end.","Review -> Pricing Transparency, Free Trial/Version, Account Creation, In-App Purchases"
"Insanely expensive upgrade LOL! Not possible for normal people to afford! I'm in US. UNINSTALLED! // PAST: It prompted me for the 1st time, I spent at least half an hour & a great deal of thought - time I didn't really have typing in my reasons for my mood of today. Then it didn't save anything I typed. It only saves replied to its prompt if I subscribe, yet it didn't inform me of that?? Not happy so far. No free pro trial, so I'm unable to see if I like it or not?","Review -> Free Trial, Subscription Model, Data Saving, Prompt Feature, Affordability"
"Bought the full version on sale, can say that its actually helped me in times of high stress and would definitely recommend someone buy it. Like all apps, after a month theres a lull where you don't feel like checking in anymore but i notice thats when I need it the most. Great app. Not sure if they add more classes or thats it, i dont think the app makes it clear. Still good amount of courses, worth the money imo.","Review -> Stress Management, Goal Achievement, Self-Awareness, Courses"
"I would give this app 5* if you could see your past journal in the free version or the cost of premium was about half what it is now. â¢The devs offered me a one week trial which I appreciated, so I changed from 3* to 4*, but my day doesn't end at midnight and not being able to change that is a dealbreaker for me. â¢The subscription page at the beginning is also misleading, it looks like you can't skip it even though you can. I KNEW I could skip it and I almost missed the little x in the corner.","Review -> Journaling, Subscription Model, Customizable Day End Time, User Interface (Subscription Page)"
