Reviews,cleaned_review,cluster
"(EDIT) it's 100 bucks a year now?? 😂 WITH a discount, otherwise it's 200 bucks?? Are you all tripping? The concept is great but I do not understand why being able to check items off from the previous day is a function locked behind a paywall. Especially when the calendar changes at midnight on the dot, that means I'm constantly unable to register what I've done during the day just because I've completed a task at 00:30am. I'm not going to pay 35 bucks just for that function, it's absurd.",edit 100 buck year discount otherwise 200 buck tripping concept great understand able check item previous day function locked behind paywall especially calendar change midnight dot mean im constantly unable register ive done day ive completed task 0030am im going pay 35 buck function absurd,1
"It seems like a great app if you want to pay. The concept is great, it explores all aspects of your life to help you improve them all. However, 90% is behind a paywall of about $40 a month. I find it funny that one topic is financial frustrations, and yet... have another bill to deal with it. I'd much rather put up with ads than pay what they're asking for some simple help with life goals. I can write it out on paper for free.",seems like great app want pay concept great explores aspect life help improve however 90 behind paywall 40 month find funny one topic financial frustration yet another bill deal id much rather put ad pay theyre asking simple help life goal write paper free,1
"Originally this was great! It had a lot of free help that was beneficial and at one point I switched to premium to benefit myself more. Some life events caused me to drop the less necessary costs in my life and I'm stable again and now it seems that every goal available is only premium. This is terrible for marketing because you can no longer sample the goals they offer and prepare for you. Now, there's very little you can do without paying.",originally great lot free help beneficial one point switched premium benefit life event caused drop less necessary cost life im stable seems every goal available premium terrible marketing longer sample goal offer prepare there little without paying,1
"This idea is fantastic, and i would use it non stop. But I think the cost for a subscription is kind of ridiculous. If it was cheaper I think that I would do it. The amount of free stuff is very limited so you kind of have to pay to do anything. It's a great idea, but I'm not paying 12 dollars a month for it... Im tempted, but that's too expensive. I think this app would still make a good profit without having to pay, and as annoying as ads are, it's much better than having to pay monthly",idea fantastic would use non stop think cost subscription kind ridiculous cheaper think would amount free stuff limited kind pay anything great idea im paying 12 dollar month im tempted thats expensive think app would still make good profit without pay annoying ad much better pay monthly,1
I'm sure it's a great app for people who have more time than I do. I wish I could utilize the benefits of the app but it's too much content too many choices just too much I can't spend the time navigating through it to find out how exactly to use it I would say simplify it maybe offer a simplified version? it's just not the right app for me.,im sure great app people time wish could utilize benefit app much content many choice much cant spend time navigating find exactly use would say simplify maybe offer simplified version right app,1
"This is a great app, I like the features and the goals. I'm on the free version and I get that you can't plan that far ahead because it's a premium feature. However I think seeing the things you have already added to the app you should be able to do for FREE. I would understand if we couldn't add to the past or edit past entries. But not seeing them at all I think is really point less. Would have given this app a 5 if I was just able to look at the past entries I have made.",great app like feature goal im free version get cant plan far ahead premium feature however think seeing thing already added app able free would understand couldnt add past edit past entry seeing think really point less would given app 5 able look past entry made,1
"I agree with the previous user. Seems like it could be a valuable app but I want to know up front if it's free or not instead of downloading the app, having to create an account then get hit with the pricing before I can continue using the app. Theres no point in being deceptive (not sure if that was the intent or not) but it's always better to let ppl know up front if there is a charge involved instead of them having to find out on the back end.",agree previous user seems like could valuable app want know front free instead downloading app create account get hit pricing continue using app there point deceptive sure intent always better let ppl know front charge involved instead find back end,1
"Insanely expensive upgrade LOL! Not possible for normal people to afford! I'm in US. UNINSTALLED! // PAST: It prompted me for the 1st time, I spent at least half an hour & a great deal of thought - time I didn't really have typing in my reasons for my mood of today. Then it didn't save anything I typed. It only saves replied to its prompt if I subscribe, yet it didn't inform me of that?? Not happy so far. No free pro trial, so I'm unable to see if I like it or not?",insanely expensive upgrade lol possible normal people afford im u uninstalled past prompted 1st time spent least half hour great deal thought time didnt really typing reason mood today didnt save anything typed save replied prompt subscribe yet didnt inform happy far free pro trial im unable see like,1
"Bought the full version on sale, can say that its actually helped me in times of high stress and would definitely recommend someone buy it. Like all apps, after a month theres a lull where you don't feel like checking in anymore but i notice thats when I need it the most. Great app. Not sure if they add more classes or thats it, i dont think the app makes it clear. Still good amount of courses, worth the money imo.",bought full version sale say actually helped time high stress would definitely recommend someone buy like apps month there lull dont feel like checking anymore notice thats need great app sure add class thats dont think app make clear still good amount course worth money imo,1
"I would give this app 5* if you could see your past journal in the free version or the cost of premium was about half what it is now. •The devs offered me a one week trial which I appreciated, so I changed from 3* to 4*, but my day doesn't end at midnight and not being able to change that is a dealbreaker for me. •The subscription page at the beginning is also misleading, it looks like you can't skip it even though you can. I KNEW I could skip it and I almost missed the little x in the corner.",would give app 5 could see past journal free version cost premium half devs offered one week trial appreciated changed 3 4 day doesnt end midnight able change dealbreaker subscription page beginning also misleading look like cant skip even though knew could skip almost missed little x corner,1
"Awful. The previous version of the app was awesome - so good, been using it for ages - will now not be subscribing. Hideous new interface, difficult to use, super clunky - got to fill out things in the mood thing then go back to the journal thing. Horrible, time consuming, and actually a bit ugly, totally overpriced. You RUINED it. Turn it baaaack! I rely on this so much but only use a small part of it. Happy to pay for just that. Really upset.",awful previous version app awesome good using age subscribing hideous new interface difficult use super clunky got fill thing mood thing go back journal thing horrible time consuming actually bit ugly totally overpriced ruined turn baaaack rely much use small part happy pay really upset,1
The customer service is great and it's a nifty app that has a great UI and does what it does well. It's just really annoying though for forgetting I'm a premium user. I paid for it via a link given by the app (for a reduced fee) but now I find I keep having to ask customer support. It then seems to be resolved only for it to be taken away again. It's an experience not all customers will go through but it's just been seemingly going in circles somewhat,customer service great nifty app great ui well really annoying though forgetting im premium user paid via link given app reduced fee find keep ask customer support seems resolved taken away experience customer go seemingly going circle somewhat,1
"Love the look of the new update! And the developer is such a nice person :) (I told him the word ""resources"" in the menu doesn't quite fit on my phone screen - the ""s"" at the end puts itself on a new line which looks odd - and he emailed back to say he's gonna fix it! They've taken on previous feedback/ideas I've given too which is so cool!) But yeh love the app and so happy you've changed the headings to include day of month and date!",love look new update developer nice person told word resource menu doesnt quite fit phone screen end put new line look odd emailed back say he gonna fix theyve taken previous feedbackideas ive given cool yeh love app happy youve changed heading include day month date,1
"At the start I would have given it 5 stars. I actually really enjoyed the daily video session and that's what made me sign up in the first place. I'm now a couple of months in and the video sessions have stopped, I just get a quote instead. I've unsubscribed and annoyed I had to pay for the whole year already and the main reason I got it (the short daily video) is now no longer there.",start would given 5 star actually really enjoyed daily video session thats made sign first place im couple month video session stopped get quote instead ive unsubscribed annoyed pay whole year already main reason got short daily video longer,1
"This is the worst self help app I have ever come across. because the content is good, overall experience is superb, but everything (yes, even the most basic ""getting started"" courses) are behind a paywall. when quizzed on why is this the case, the support agent lied and said some of them are free but when I checked, not a single course in the highlighted courses is free. i would give it 5 stars if you gave enough value in free plan. Instead you guys lied to me and frustated the hell out of me.",worst self help app ever come across content good overall experience superb everything yes even basic getting started course behind paywall quizzed case support agent lied said free checked single course highlighted course free would give 5 star gave enough value free plan instead guy lied frustated hell,1
"If you have executive dysfunction issues, give this one a miss. Came back to this app after using it a couple of years ago, and I could not even get through the first Daily Remente session: it's a video that you can't skip, rewind, or speed up, with a presenter who seems absolutely lovely but talks very slowly and deliberately. I have no idea what she was trying to tell me, I can't find a way to switch to a transcript or text-only mode (there are subtitles but they're so slow it's even worse.)",executive dysfunction issue give one miss came back app using couple year ago could even get first daily remente session video cant skip rewind speed presenter seems absolutely lovely talk slowly deliberately idea trying tell cant find way switch transcript textonly mode subtitle theyre slow even worse,1
"Having completed the initial questionnaire, I was then asked to sign up for a premuim membership. Although that screen had the option to dismiss it, it didn't work and I couldn't get into the app to try it out. It doesn't look like a subscription is mandatory but, unless that screen can be dismissed, it might as well be, and I'm not paying £12 to try out an app that might not do what I need it to.",completed initial questionnaire asked sign premuim membership although screen option dismiss didnt work couldnt get app try doesnt look like subscription mandatory unless screen dismissed might well im paying 12 try app might need,1
purchased the premium version and was sadly disappointed. the resources are ok but not great and in my opinion badly narrated. the app kept crashing while trying to write in the journal to the point that I had to restart my phone. massively over priced. also customer support sucks as I didn't even get a reply about the crashing issue. subscription cancelled!,purchased premium version sadly disappointed resource ok great opinion badly narrated app kept crashing trying write journal point restart phone massively priced also customer support suck didnt even get reply crashing issue subscription cancelled,1
