Review,Feature
"I love this app and what they do. But boy do I not like the update. I have a lot of problems with it. It's laggy, it hangs, sometimes won't load at all, randomly signs me out. I don't find it helpful that the first page doesn't just load up to meditations, but loads up to the accreditation message and you can't get rid of it.I also don't think the purple everything, or the organization of meditations are as clear or easy on the eyes as the old app was. I find myself using other apps more now.","Review -> Mapped Features
Laggy, hangs, won't load, randomly signs out -> Performance, Stability, Login/Authentication
First page loads to accreditation message -> User Interface, Onboarding Process
Purple color scheme, organization of meditations -> User Interface, Visualization, Meditation & Mindfulness
Meditation loading and accessibility -> Meditation & Mindfulness, User Interface"
"It was really nice, i used it for a week,and I really liked the organization of it all and it helped me with my adhd. Then,out of the blue it. Changed into some ""mental fitness"" thing. Nothing works i cant find any of the sections or sessions. The whole app changed. I am uninstalling. I wish they could release the old version just as a separate app. This new one is frustrating and is completely different. Please give an option to download the old app.","Review -> MEDITATION & MINDFULNESS, MENTAL FITNESS, PERSONALISED CONTENT, TRACKING FEATURES (implied by ""organization of it all"", ""sections or sessions"")"
"I've been using this app for years and it's always been my favorite meditation app. I had done almost all of the meditations and saved many of them as my favorites. I think the new update looks really good, however my problem with it (other than having lost all of my favorite meditations â¹ï¸) is that when I do a meditation, it is not marked as 'done'. Also some of the background music tracks do not work. I hope these bugs get fixed and thank you for genuinely caring about our mental health â¤ï¸","Review -> Meditation & Mindfulness, Mental Fitness, Tracking progress (Mental fitness tracker), Favorite/save content feature, Background music tracks, Marking meditations as 'done' feature"
I just downloaded the new update and I cannot believe what has happened to the app. Smiling minds has basically saved my life and now it's a garish garbled mess of random unorganized meditations and awful color and font choices. I can't make heads and tails out of it. Plus months of progress and curating are gone! Frankly the new layout is such a mess that it caused me anxiety. I really don't understand what happened but if the app doesn't revert I am removing it from my phone.,"Review -> Mapped Features
MEDITATION & MINDFULNESS, MENTAL FITNESS, OTHER FEATURES (Track your mood with wellbeing check-ins, See your skill development progress with the mental fitness tracker)"
"I like this app. I was excited about the new families sleep section. Whenever I click on an idea to hear, it loads the screen, as if to play, and when I clicked the play symbol nothing plays. In addition, it addition, it prevents other programs from playing and I have to force stop Smiling Minds from running in order to get anything to work. Please correct this problem.","Review -> MEDITATION & MINDFULNESS, OTHER FEATURES"
"I really like the meditations on this app, and the tracking and reminders help me stick to a daily practice, but some functions don't work properly. When I ""favorite"" a session, it doesn't save, and my favorites remain empty. And after initial setup when I added programs to ""my programs,"" I can't add any more--I started a progem that I didn't initially add, and it won't log that first session or add the program to my list. Samsung Galaxy S8","Review -> Favorite sessions, Tracking, Reminders, My Programs"
"It has a major bug that stops it from working. Each exercise you complete has to be registered by the app as complete before you can do the next. Unfortunately the app generally doesn't recognize that you have completed the exercise, so you have to play it repeatedly (usually 3 times) before the app allows you to .I've to the next exercise. Today I played it 4 times and it never registered as done, so I finally gave up.","Review -> Mental Fitness, Meditation & Mindfulness, Tracking progress (mental fitness tracker)"
"I really like this app, it's simple, direct, and free, but I have to keep that last star. Unfortunately, whenever I try to play my next session in my beginner course, I'm sent to my lock screen. I've tried clearing my other open apps, restarting this app, and downloading the session, but nothing has worked.","Review -> Beginner Course, Offline Download, App Restart 
-> MEDITATION & MINDFULNESS, OTHER FEATURES"
"UPDATE: I still find the meditations stopping half way. I was trying the ""Breath and Body"" meditation of 10:19 duration and it stopped playing at 4:07. Previous Review: I like the content in the app but the app is buggy. My main problem is that the meditations stop last thank half way through. Even a 7 minute meditation stop around 3 mins! I would really appreciate it if this issue could be fixed soon.",Review -> MEDITATION & MINDFULNESS
"Been using this app for 2 years now. It was one of the apps that got me through stressful moments during my college life and I know it would help me now that I'm working. Unfortunately, I can't log in to the app anymore eversince the new update. I've already sent an email but there's no reply. I already tried to uninstall and install but nothing happened. Hopefully I could log in sooner so that I'll continue to have a ""smiling mind"".","Review -> Login/Authentication, Update/Installation"
"This app is so frustrating!!! It constantly glitches, won't load or stops half way through. My kids love it and we've used it every night for years. Incredibly frustrating when it suddenly wont work. When I provided feedback, all they could do was ask for a screen recording. How is that helpful or even possible when the app won't even open!!! It has been worse since the update. It's not good enough. DO BETTER!!!!!! ð¡ð¡ð¡ð¡ð¡ð¡ð¡ð¡","Review -> App Launch/Loading, Feedback Mechanism, Update Management, Stability/Performance"
