Reviews,cleaned_review,cluster
"I love this app and what they do. But boy do I not like the update. I have a lot of problems with it. It's laggy, it hangs, sometimes won't load at all, randomly signs me out. I don't find it helpful that the first page doesn't just load up to meditations, but loads up to the accreditation message and you can't get rid of it.I also don't think the purple everything, or the organization of meditations are as clear or easy on the eyes as the old app was. I find myself using other apps more now.",love app boy like update lot problem laggy hang sometimes wont load randomly sign dont find helpful first page doesnt load meditation load accreditation message cant get rid iti also dont think purple everything organization meditation clear easy eye old app find using apps,1
"It was really nice, i used it for a week,and I really liked the organization of it all and it helped me with my adhd. Then,out of the blue it. Changed into some ""mental fitness"" thing. Nothing works i cant find any of the sections or sessions. The whole app changed. I am uninstalling. I wish they could release the old version just as a separate app. This new one is frustrating and is completely different. Please give an option to download the old app.",really nice used weekand really liked organization helped adhd thenout blue changed mental fitness thing nothing work cant find section session whole app changed uninstalling wish could release old version separate app new one frustrating completely different please give option download old app,1
"I've been using this app for years and it's always been my favorite meditation app. I had done almost all of the meditations and saved many of them as my favorites. I think the new update looks really good, however my problem with it (other than having lost all of my favorite meditations ☹️) is that when I do a meditation, it is not marked as 'done'. Also some of the background music tracks do not work. I hope these bugs get fixed and thank you for genuinely caring about our mental health ❤️",ive using app year always favorite meditation app done almost meditation saved many favorite think new update look really good however problem lost favorite meditation meditation marked done also background music track work hope bug get fixed thank genuinely caring mental health,1
I just downloaded the new update and I cannot believe what has happened to the app. Smiling minds has basically saved my life and now it's a garish garbled mess of random unorganized meditations and awful color and font choices. I can't make heads and tails out of it. Plus months of progress and curating are gone! Frankly the new layout is such a mess that it caused me anxiety. I really don't understand what happened but if the app doesn't revert I am removing it from my phone.,downloaded new update cannot believe happened app smiling mind basically saved life garish garbled mess random unorganized meditation awful color font choice cant make head tail plus month progress curating gone frankly new layout mess caused anxiety really dont understand happened app doesnt revert removing phone,1
"I like this app. I was excited about the new families sleep section. Whenever I click on an idea to hear, it loads the screen, as if to play, and when I clicked the play symbol nothing plays. In addition, it addition, it prevents other programs from playing and I have to force stop Smiling Minds from running in order to get anything to work. Please correct this problem.",like app excited new family sleep section whenever click idea hear load screen play clicked play symbol nothing play addition addition prevents program playing force stop smiling mind running order get anything work please correct problem,1
"I really like the meditations on this app, and the tracking and reminders help me stick to a daily practice, but some functions don't work properly. When I ""favorite"" a session, it doesn't save, and my favorites remain empty. And after initial setup when I added programs to ""my programs,"" I can't add any more--I started a progem that I didn't initially add, and it won't log that first session or add the program to my list. Samsung Galaxy S8",really like meditation app tracking reminder help stick daily practice function dont work properly favorite session doesnt save favorite remain empty initial setup added program program cant add morei started progem didnt initially add wont log first session add program list samsung galaxy s8,1
"It has a major bug that stops it from working. Each exercise you complete has to be registered by the app as complete before you can do the next. Unfortunately the app generally doesn't recognize that you have completed the exercise, so you have to play it repeatedly (usually 3 times) before the app allows you to .I've to the next exercise. Today I played it 4 times and it never registered as done, so I finally gave up.",major bug stop working exercise complete registered app complete next unfortunately app generally doesnt recognize completed exercise play repeatedly usually 3 time app allows ive next exercise today played 4 time never registered done finally gave,1
"I really like this app, it's simple, direct, and free, but I have to keep that last star. Unfortunately, whenever I try to play my next session in my beginner course, I'm sent to my lock screen. I've tried clearing my other open apps, restarting this app, and downloading the session, but nothing has worked.",really like app simple direct free keep last star unfortunately whenever try play next session beginner course im sent lock screen ive tried clearing open apps restarting app downloading session nothing worked,1
"UPDATE: I still find the meditations stopping half way. I was trying the ""Breath and Body"" meditation of 10:19 duration and it stopped playing at 4:07. Previous Review: I like the content in the app but the app is buggy. My main problem is that the meditations stop last thank half way through. Even a 7 minute meditation stop around 3 mins! I would really appreciate it if this issue could be fixed soon.",update still find meditation stopping half way trying breath body meditation 1019 duration stopped playing 407 previous review like content app app buggy main problem meditation stop last thank half way even 7 minute meditation stop around 3 min would really appreciate issue could fixed soon,1
"Been using this app for 2 years now. It was one of the apps that got me through stressful moments during my college life and I know it would help me now that I'm working. Unfortunately, I can't log in to the app anymore eversince the new update. I've already sent an email but there's no reply. I already tried to uninstall and install but nothing happened. Hopefully I could log in sooner so that I'll continue to have a ""smiling mind"".",using app 2 year one apps got stressful moment college life know would help im working unfortunately cant log app anymore eversince new update ive already sent email there reply already tried uninstall install nothing happened hopefully could log sooner ill continue smiling mind,1
