Review,Feature,Emotion
"day two and I'm already feeling the change in my stress level. free trial gave me access to everything so I haven't looked around and seen all that available, but so far, I'm VERY impressed by this app!! I'm already feeling less anxious and if I ever hit a panic attack, they have an SOS meditation guide for on the spot needs. I love this one so much, can't wait to see what all I can get accomplished as I strive towards a more stress free life! thank you devs so much for opening up the trial!!Ã¢ÂÂ¤Ã¯Â¸ÂÃ¢ÂÂ¤","SOS meditation guide, Free trial, Personalized guided meditations, Animated breathing exercises",Positive
"I did the Balance one year free trial a few years ago but didn't manage to build a consistent habit and ended up trying a few apps that were either totally free or had a good number of free meditations. I ended up coming back to Balance and buying a lifetime membership and am meditating daily now. I like that each meditation adapts and that some gives options (like the Pomodoro session). I also like that everything is rooted in science and explanations are given, no esoterism to be found.","Personalized guided meditations, Adaptive meditations, Pomodoro session, Science-backed explanations, Lifetime membership",Positive
"Really great app. Love all the quiet options to relax for bed or have soothing white noise type things playing. Would be 5 stars if there were cast support. My kids love the sleep meditations, and I can use the media output settings built into my phone to play things on the Google speakers in their rooms, but it's clunky and disconnects all the time. Cast support would be great to set it and forget it so it's playing on its own and not relying on my phone. Other than that, I love it!","Sleep Meditations, Media Output Settings, Cast Support",Positive
"It would be good, if there was an option, to restart the meditation plans at any points, if I feel got lost with them, or repeat anytime in a later point in the future. Also there is a bug, if a fullscreen notification comes up, like a calendar reminder, will makes the meditation stop, and when recognising that it was stopped, and get the notification out of the way, the meditation would just start from the beginning, instead continue from the point it was disrupted.. Please resolve these.","10-day Plans, Guided Meditations, Meditation Sessions, Breathing Exercises, Singles 
Fullscreen Notification Handling, Session Continuity, Meditation Session Control",Positive
"I was diagnosed with dysautonomia (from covid) and have troubles with anxiety, tachycardia, blood pressure spikes, pvcs, fatigue, seeing/feeling/hearing my pulse, chest pain, pressure in chest, vertigo, vision blacking out, etc. I stumbled upon this app, and it has really helped me to reduce stress levels, raise my HRV, get a better night's sleep, gain more energy, and am able to switch back into parasympathetic much faster now. If you struggle with stress or sleep, I HIGHLY recommend Balance!","Personalized guided meditations, 10-day Plans, Singles, Sleep meditations, Breathing exercises, Animated breathing exercises, Relax, Energize, and Concentrate daily guided meditations, Foundations Plan, Advanced Plan, Guided breathing exercises",Negative
I'm on Day 2 of the free 1-year trial. I love the guided meditation practices and the numerous categories that you can choose from. There's also an unguided option in case you don't or can't follow along with a guided session. It can be distracting for some people to hear someone throughout a 5- or 10-minute session. I've been going through a severe depressive episode and bouts of general anxiety. These last two sessions helped me to focus and mentally regroup. I can't wait to practice more.,"Guided Meditation Practices, Unguided Option, Categories for Meditation Sessions",Positive
"I have been looking for a good, efficient mental & emotional health company & app where I can truly feel the results and I don't have to stop & be limited because of subscription costs. although I agree with subscription costs in order ro run the company, staff & all things related to the app, it made it difficult for me to get healthy. but when I tried this company & their app, their kind yr long free subscription has truly helped & I just started last night. I am forever greatful. I recommend!","Free Subscription, Personalized Program",Positive
"I saw this was offered at a full year for free & I was immediately interested. Most apps give you, at most, 2 weeks free. I felt they must have faith in their product to offer that kind of promo. I've used it daily, 1-3 times per day, for 3 weeks. It is hands down the best meditation app I've ever used. I look forward to meditating instead of feeling like it's a chore or task to complete. I've gotten a few friends using it also. I'm hoping I'll be able to afford the lifetime discount plan. Ã°ÂÂ¤Â","Personalized guided meditations, 10-day Plans, Singles, Animated breathing exercises, Research-backed activities, Calming sounds, Sleep meditations, Lifetime discount plan, Free trial period",Positive
"This is by far the BEST meditation app out there. I love all the singles, I love that in the ""breaking habits"" one if you select smoking they don't specifically say cigarettes in the meditation (I'm trying to quit weed). Ofosu has a very soothing voice and I love all the educational aspects. I got a whole year free trial and I try to use it every day. This is the only app that's actually helped me sustain a meditation habit, and I've tried a LOT of them. And there are NO ADS in the free version!","Singles, Breaking Habits meditation, Educational aspects, No Ads in free version, Personalized guided meditations, Guided breathing exercises",Positive
"I love this app!!! Due to undiagnosed ADHD, I stopped meditating due to my increasing inability to sit, focus, and enjoy the moment. I typically never gravitated towards guided meditation because the repetition was even worse. Balance has restored my meditation routine bc the meditation can be as little as 5 minutes, and you never get the same guided meditation twice!!!! That keeps me engaged and looking forward to the next one. I've gifted one year to so many ppl. You'll love it!","Personalized guided meditations, Bite-sized Singles, 10-day Plans, Animated breathing exercises, Variety of guided meditation sessions",Positive
